size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,3.2991314,40.30021131038666,1.0393639
0.5,0.0,2,3.459914,42.743659019470215,0.17226063
0.5,0.0,4,3.580112,41.12416207790375,0.0
0.5,0.0,6,4.5839553,58.377331495285034,9.094947e-13
0.5,0.0,8,3.349774,41.31046533584595,9.094947e-13
0.5,0.0,10,3.3170178,40.78134894371033,0.0
0.5,0.0,12,3.6953206,41.77405536174774,3.637979e-12
0.5,0.25,1,3.4423711,41.47671163082123,0.6369972
0.5,0.25,2,3.3153958,39.79598581790924,0.0853746
0.5,0.25,4,3.3153803,40.4431939125061,0.0005974536
0.5,0.25,6,4.1926184,52.76833772659302,0.0
0.5,0.25,8,3.5825503,41.13815128803253,9.094947e-13
0.5,0.25,10,3.9185143,48.945555090904236,0.0
0.5,0.25,12,3.7765725,47.02231585979462,0.0
0.5,0.5,1,3.4047933,42.02462136745453,0.3766424
0.5,0.5,2,3.3853204,40.26771783828735,0.055207297
0.5,0.5,4,3.4251423,42.31100380420685,0.0024119427
0.5,0.5,6,3.337427,41.150155663490295,9.094947e-13
0.5,0.5,8,3.667393,41.61858558654785,9.094947e-13
0.5,0.5,10,3.4633517,42.8073525428772,0.0
0.5,0.5,12,3.3794415,41.69757664203644,0.0
0.5,0.9,1,3.3552709,41.135090589523315,0.08240132
0.5,0.9,2,3.3749871,41.61458611488342,0.011252399
0.5,0.9,4,3.436365,42.44589805603027,1.948364e-05
0.5,0.9,6,4.566933,46.72168791294098,9.094947e-13
0.5,0.9,8,3.3121917,40.2856320142746,9.094947e-13
0.5,0.9,10,3.3084671,39.90470468997955,0.0
0.5,0.9,12,4.867461,62.65255808830261,0.0
0.25,0.0,1,4.0703783,51.71123147010803,0.58082163
0.25,0.0,2,3.5591452,44.640254974365234,0.13214573
0.25,0.0,4,3.689745,45.21769881248474,0.00015435164
0.25,0.0,6,4.815304,50.81523060798645,0.0003109019
0.25,0.0,8,3.6971772,47.4834144115448,0.0
0.25,0.0,10,4.699136,50.18269419670105,3.637979e-12
0.25,0.0,12,7.6093907,118.92253160476685,0.0
0.25,0.25,1,3.5535014,45.72768211364746,0.6028848
0.25,0.25,2,3.6501622,45.53705453872681,0.062633075
0.25,0.25,4,4.5006146,59.19719934463501,0.00020880235
0.25,0.25,6,3.828007,49.41418170928955,9.094947e-13
0.25,0.25,8,3.735401,45.34280300140381,0.0
0.25,0.25,10,4.3081465,56.39004111289978,9.094947e-13
0.25,0.25,12,4.160608,47.28899002075195,9.094947e-13
0.25,0.5,1,3.6514456,45.31773030757904,0.37054998
0.25,0.5,2,3.611675,46.187496185302734,0.015638528
0.25,0.5,4,3.8894815,45.98764181137085,0.0021226613
0.25,0.5,6,3.931378,50.940126180648804,0.0
0.25,0.5,8,4.9463263,66.01946353912354,9.094947e-13
0.25,0.5,10,4.314261,48.14237356185913,9.094947e-13
0.25,0.5,12,4.501645,49.15232956409454,9.094947e-13
0.25,0.9,1,3.6027362,45.20465135574341,0.1224449
0.25,0.9,2,3.7331805,47.99986481666565,0.010534413
0.25,0.9,4,3.8072119,49.101632833480835,2.6951122e-06
0.25,0.9,6,5.916864,82.5714111328125,2.2737368e-13
0.25,0.9,8,4.2248797,47.64878451824188,9.094947e-13
0.25,0.9,10,4.0518484,52.63795852661133,9.094947e-13
0.25,0.9,12,3.701624,45.24804353713989,3.637979e-12
0.1,0.0,1,3.6191664,45.030444860458374,0.9819474
0.1,0.0,2,3.565105,44.209614396095276,0.061318353
0.1,0.0,4,3.7823431,47.16235399246216,0.003439324
0.1,0.0,6,4.852592,62.42585778236389,2.2737368e-13
0.1,0.0,8,3.4734545,41.65693521499634,3.637979e-12
0.1,0.0,10,5.4628577,72.20332026481628,2.2737368e-13
0.1,0.0,12,3.895787,43.684566020965576,0.0
0.1,0.25,1,3.5618265,41.96155071258545,0.46571666
0.1,0.25,2,3.4750655,41.658684611320496,0.021050084
0.1,0.25,4,4.561259,58.04644227027893,0.0019437874
0.1,0.25,6,3.4360766,41.668492555618286,9.094947e-13
0.1,0.25,8,3.6093795,44.75666284561157,9.094947e-13
0.1,0.25,10,3.452779,42.56522357463837,9.094947e-13
0.1,0.25,12,3.834474,47.84873425960541,0.0
0.1,0.5,1,3.5526521,42.059558629989624,0.38244724
0.1,0.5,2,3.4997394,43.20716857910156,0.04338025
0.1,0.5,4,4.224242,53.26039791107178,0.0009054091
0.1,0.5,6,3.480313,41.68556332588196,0.0
0.1,0.5,8,4.932511,63.654571771621704,2.2737368e-13
0.1,0.5,10,3.4372435,41.73068702220917,9.094947e-13
0.1,0.5,12,6.0626597,82.77121782302856,0.0
0.1,0.9,1,3.4400752,42.141127586364746,0.10291335
0.1,0.9,2,3.6004875,42.164671421051025,0.019170692
0.1,0.9,4,3.6639912,45.51164507865906,0.00010400889
0.1,0.9,6,3.6782663,45.70511877536774,9.094947e-13
0.1,0.9,8,6.28894,87.0308518409729,0.0
0.1,0.9,10,4.4343743,46.672460436820984,3.637979e-12
0.1,0.9,12,5.0452347,65.41187167167664,9.094947e-13
