size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,1.7723789,31.009656190872192,12.955764
0.5,0.0,2,1.634741,30.851125717163086,12.688692
0.5,0.0,4,1.6513971,30.219733715057373,12.32102
0.5,0.0,6,1.7596004,31.634703278541565,12.741887
0.5,0.0,8,1.8803692,36.26680076122284,15.065405
0.5,0.0,10,1.8543264,31.024903059005737,11.038792
0.5,0.25,1,2.2832265,37.50196099281311,12.215136
0.5,0.25,2,2.302197,38.31076622009277,13.198015
0.5,0.25,4,2.2542732,38.45385015010834,14.311338
0.5,0.25,6,2.341257,39.13191258907318,14.202968
0.5,0.25,8,2.2406259,38.28112781047821,14.244935
0.5,0.25,10,2.6675057,47.33743369579315,20.046104
0.5,0.5,1,2.8097842,40.844881534576416,11.228525
0.5,0.5,2,2.8828135,42.89329946041107,12.842547
0.5,0.5,4,3.1176684,49.82108175754547,16.570154
0.5,0.5,6,3.0390418,46.03131115436554,14.317084
0.5,0.5,8,3.04928,46.24403119087219,13.984442
0.5,0.5,10,3.161,47.699010372161865,13.348177
0.5,0.9,1,3.2643514,39.97810482978821,0.27211663
0.5,0.9,2,3.5980773,45.172473788261414,5.17201
0.5,0.9,4,3.6032171,45.962801575660706,6.8776965
0.5,0.9,6,3.7413049,48.75379502773285,9.874719
0.5,0.9,8,3.8147414,48.97809326648712,6.914347
0.5,0.9,10,3.8892653,50.36342740058899,6.7637014
0.25,0.0,1,2.258212,37.222954630851746,7.2284284
0.25,0.0,2,2.1546378,36.262235045433044,8.338203
0.25,0.0,4,2.0333905,35.585397481918335,9.148561
0.25,0.0,6,2.0439432,35.8861118555069,9.771804
0.25,0.0,8,2.283167,37.53833472728729,8.453563
0.25,0.0,10,2.0536814,36.11637353897095,10.282795
0.25,0.25,1,2.6608505,39.32855427265167,7.135246
0.25,0.25,2,2.4990182,38.94159495830536,8.799716
0.25,0.25,4,2.5911992,39.85128700733185,10.343673
0.25,0.25,6,2.5903883,39.20074999332428,8.723819
0.25,0.25,8,2.6005058,39.218032360076904,8.877768
0.25,0.25,10,2.8816967,42.46363341808319,10.487236
0.25,0.5,1,2.9531674,42.23649203777313,6.5461917
0.25,0.5,2,2.9119031,41.25293791294098,6.5184426
0.25,0.5,4,3.1342454,44.51172649860382,8.248635
0.25,0.5,6,2.7599132,41.510000824928284,8.4277
0.25,0.5,8,2.936144,41.60122275352478,7.354691
0.25,0.5,10,2.8898432,42.894795536994934,8.954255
0.25,0.9,1,3.531681,44.3812370300293,0.91998756
0.25,0.9,2,3.8397882,47.156351804733276,5.81934
0.25,0.9,4,3.9160395,49.19486045837402,8.7444315
0.25,0.9,6,3.8945398,47.5094199180603,6.8514824
0.25,0.9,8,3.945957,47.858694195747375,7.476016
0.25,0.9,10,3.9727533,47.41350710391998,5.0760713
0.1,0.0,1,2.6154215,36.91325783729553,6.145053
0.1,0.0,2,2.4804325,35.99124848842621,7.318051
0.1,0.0,4,2.4013186,35.171300172805786,7.051972
0.1,0.0,6,2.510915,37.107664346694946,8.896488
0.1,0.0,8,2.7430596,38.91165256500244,8.8733
0.1,0.0,10,2.6526663,37.457939982414246,7.2828164
0.1,0.25,1,2.7403398,38.22411000728607,6.739212
0.1,0.25,2,2.6682673,37.34279274940491,7.1811395
0.1,0.25,4,2.6634107,38.403233885765076,9.005573
0.1,0.25,6,2.9467459,39.113208651542664,8.262467
0.1,0.25,8,2.8967223,38.600948452949524,7.143667
0.1,0.25,10,2.9455252,41.84613525867462,8.782652
0.1,0.5,1,3.1600583,40.385958552360535,4.7567196
0.1,0.5,2,3.0637357,40.42922854423523,5.6517577
0.1,0.5,4,3.0661302,40.98583161830902,7.47883
0.1,0.5,6,3.1117196,41.06447398662567,6.8485956
0.1,0.5,8,2.9403296,40.04150032997131,6.1354337
0.1,0.5,10,3.041065,40.325409173965454,6.844725
0.1,0.9,1,3.626771,42.31257140636444,1.4644803
0.1,0.9,2,4.1724224,46.31883502006531,5.7083406
0.1,0.9,4,4.5142245,48.565202951431274,8.316112
0.1,0.9,6,4.1331677,46.7763751745224,7.2928247
0.1,0.9,8,4.1494217,46.549174189567566,8.050577
0.1,0.9,10,4.2920895,46.763697266578674,6.951103
