num_layers,test_size,train_size,mae,variance
1,0.1,100,2.7710352420806883,10.99151
1,0.2,100,2.092449490971203,21.668486
1,0.5,100,3.8783980523697053,7.6163282
1,0.8,100,2.670899108783165,15.314796
1,0.9,100,2.9211224329270675,10.567367
2,0.1,100,2.8965816881507633,19.625103
2,0.2,100,2.381611926363239,17.101707
2,0.5,100,3.9042218315480937,7.980963
2,0.8,100,2.3968057267226373,8.88526
2,0.9,100,2.882937631203552,8.712728
4,0.1,100,3.776296889781952,15.199585
4,0.2,100,3.2308458376534377,8.055779
4,0.5,100,3.268495131020594,0.4969098
4,0.8,100,3.179307113507692,5.1270885
4,0.9,100,2.8301073073336247,7.072136
6,0.1,100,4.023004150390625,1.4893245e-05
6,0.2,100,3.647718405421776,1.0581825e-06
6,0.5,100,3.612892560284547,2.0576906e-06
6,0.8,100,3.5057655014569247,5.033436e-07
6,0.9,100,3.446448133232888,6.992169e-07
8,0.1,100,4.024926280975341,1.6640797e-08
8,0.2,100,3.6519289378878437,9.964723e-09
8,0.5,100,3.6098149184024697,8.2980367e-10
8,0.8,100,3.505962094174156,1.9247095e-09
8,0.9,100,3.4450247394904663,1.8877253e-09
10,0.1,100,4.025000333786011,1.286935e-11
10,0.2,100,3.650398049173476,1.4847788e-10
10,0.5,100,3.609893071531045,4.5718186e-11
10,0.8,100,3.5064951619015465,8.127889e-12
10,0.9,100,3.443280895104569,4.298129e-11
