size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,2.9335926,37.78170943260193,3.467448
0.5,0.0,2,2.549144,35.06773114204407,6.250975
0.5,0.0,4,2.6553674,38.14806640148163,7.769874
0.5,0.0,6,2.937614,44.07627284526825,11.138362
0.5,0.0,8,2.49513,37.460801005363464,9.171437
0.5,0.0,10,2.3737528,40.816619992256165,14.686141
0.5,0.25,1,3.174164,39.8464173078537,6.695208
0.5,0.25,2,2.6138709,36.79123818874359,8.296759
0.5,0.25,4,3.0690572,41.43146276473999,9.862776
0.5,0.25,6,2.6417024,38.20423185825348,10.743011
0.5,0.25,8,2.9953878,42.957934737205505,11.876542
0.5,0.25,10,2.679124,38.25525939464569,10.114094
0.5,0.5,1,3.3195684,42.03943610191345,4.9266944
0.5,0.5,2,3.1945271,40.87677001953125,7.967308
0.5,0.5,4,3.0886009,39.737123250961304,6.180675
0.5,0.5,6,3.372632,41.103148460388184,6.7222424
0.5,0.5,8,3.233351,42.571812868118286,7.7273993
0.5,0.5,10,3.5294228,46.96144461631775,11.561052
0.5,0.9,1,3.3898382,41.6265070438385,2.8747268
0.5,0.9,2,3.3681965,42.05304980278015,2.7225292
0.5,0.9,4,3.7016563,45.652374625205994,4.246991
0.5,0.9,6,3.3744402,41.87650680541992,3.0911353
0.5,0.9,8,3.389278,41.73156917095184,2.3918345
0.5,0.9,10,3.311705,40.72818458080292,3.6724346
0.25,0.0,1,3.070639,42.21288561820984,4.298256
0.25,0.0,2,3.41816,44.85645294189453,5.7358294
0.25,0.0,4,2.5604875,39.03997540473938,7.7741313
0.25,0.0,6,3.0832503,42.95477867126465,7.3397427
0.25,0.0,8,2.647675,40.68177044391632,7.960632
0.25,0.0,10,2.7683482,40.80579876899719,7.8353596
0.25,0.25,1,3.8473504,48.31247925758362,6.210594
0.25,0.25,2,3.5264904,43.87406408786774,5.350886
0.25,0.25,4,3.1067088,43.52525770664215,7.559448
0.25,0.25,6,3.4626112,45.49549221992493,8.535519
0.25,0.25,8,2.9549265,41.61866307258606,7.8115907
0.25,0.25,10,3.1552236,43.73060464859009,10.371736
0.25,0.5,1,3.694622,47.355324029922485,5.686392
0.25,0.5,2,3.3638039,45.64580023288727,6.5382304
0.25,0.5,4,3.4378104,47.58256673812866,7.7621193
0.25,0.5,6,3.510581,44.64144706726074,5.610816
0.25,0.5,8,3.3702087,44.21796202659607,5.973349
0.25,0.5,10,3.5461159,45.99429965019226,4.804677
0.25,0.9,1,3.9921892,47.81551659107208,3.063388
0.25,0.9,2,3.8457232,47.03930616378784,2.7946138
0.25,0.9,4,3.7220504,46.58997356891632,3.754797
0.25,0.9,6,3.9951434,48.13661277294159,4.9310565
0.25,0.9,8,3.8697884,47.529664635658264,3.0479157
0.25,0.9,10,3.8931913,47.920602560043335,3.7436228
0.1,0.0,1,3.570648,44.776684045791626,4.048526
0.1,0.0,2,2.6697433,37.59724497795105,7.4256425
0.1,0.0,4,2.9516685,42.441755533218384,8.900334
0.1,0.0,6,3.8639073,47.248393297195435,7.914401
0.1,0.0,8,2.9662662,38.63714039325714,7.5652595
0.1,0.0,10,2.9048002,39.79150950908661,7.723744
0.1,0.25,1,3.398654,44.45065259933472,11.094408
0.1,0.25,2,3.6404355,42.88739860057831,7.7079577
0.1,0.25,4,3.4277492,44.35702562332153,7.8009863
0.1,0.25,6,3.113627,42.42713153362274,8.576265
0.1,0.25,8,3.2220857,40.391284227371216,7.096168
0.1,0.25,10,3.365991,42.28619337081909,7.114917
0.1,0.5,1,3.6786177,43.9350426197052,5.766893
0.1,0.5,2,3.528408,43.262696266174316,5.8379254
0.1,0.5,4,3.4685335,42.91846454143524,7.12346
0.1,0.5,6,3.2017384,40.905869007110596,5.8399653
0.1,0.5,8,3.4168143,42.161375284194946,7.2071457
0.1,0.5,10,4.156522,48.546719551086426,10.074171
0.1,0.9,1,3.7385166,43.1610107421875,3.8860831
0.1,0.9,2,3.8488407,43.89223754405975,4.7162833
0.1,0.9,4,3.8046622,43.51332485675812,3.2717216
0.1,0.9,6,3.9574406,44.35749650001526,5.790008
0.1,0.9,8,4.0019436,44.8879599571228,6.0597095
0.1,0.9,10,4.189633,47.38048613071442,8.488479
