num_layers,test_size,order,mae,forecast_variance
1,0.1,"(1, 1, 1)",3.1555502548290346,0.0004122574275483872
1,0.2,"(1, 1, 1)",3.6974328965070087,1.8640502530815315e-05
1,0.5,"(1, 1, 1)",3.4798223341185115,0.0004109311931464042
1,0.8,"(1, 1, 1)",3.727454141294272,7.895478789713773e-05
1,0.9,"(1, 1, 1)",3.6978244378527014,2.9058513006894735e-05
2,0.1,"(2, 1, 1)",3.1570549124221903,0.00033514974855031616
2,0.2,"(2, 1, 1)",3.673622555200566,8.45899676747683e-05
2,0.5,"(2, 1, 1)",3.534526854878519,0.00036376853830419564
2,0.8,"(2, 1, 1)",3.637580140400872,0.0007704775314528111
2,0.9,"(2, 1, 1)",3.8109441050976476,0.00040755865438508456
4,0.1,"(4, 1, 1)",3.168202640196857,0.0005849022362826021
4,0.2,"(4, 1, 1)",3.6661383623436423,0.00013346367784863942
4,0.5,"(4, 1, 1)",3.578127462828954,0.0008036750373394644
4,0.8,"(4, 1, 1)",3.5630010486057673,0.0013975499547960266
4,0.9,"(4, 1, 1)",3.9703589705302185,0.011214104618213941
6,0.1,"(6, 1, 1)",3.249278450136553,0.014271264241128154
6,0.2,"(6, 1, 1)",3.573822909356054,0.015870401388539766
6,0.5,"(6, 1, 1)",3.568927775267744,0.0040210721337060355
6,0.8,"(6, 1, 1)",3.5806730912816938,0.0021751005740112284
6,0.9,"(6, 1, 1)",3.830407199443281,0.02085627540827253
8,0.1,"(8, 1, 1)",3.2586373807104487,0.017752525414830578
8,0.2,"(8, 1, 1)",3.5693306776967795,0.011239362008323178
8,0.5,"(8, 1, 1)",3.587035968145055,0.0046980434136378165
8,0.8,"(8, 1, 1)",3.5682751507959334,0.005200401387397107
8,0.9,"(8, 1, 1)",3.8452111825643405,0.04751840185280508
10,0.1,"(10, 1, 1)",3.2634921158637606,0.014166472529500394
10,0.2,"(10, 1, 1)",3.703714542992487,0.03218234611485173
10,0.5,"(10, 1, 1)",3.3586928475092788,0.07595553280606226
10,0.8,"(10, 1, 1)",3.5860941681117855,0.01012165609795384
10,0.9,"(10, 1, 1)",3.8440373327460096,0.048556409157498724
