size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,1646.577980949807,198.8004446029663,1.5560982
0.5,0.0,2,1633.7386993917335,178.60039472579956,66.44313
0.5,0.0,4,1605.8325542541138,155.00497817993164,871.8021
0.5,0.0,6,1626.615564546167,171.59249782562256,211.74309
0.5,0.0,8,1645.1705660102853,195.95884084701538,0.9564356
0.5,0.0,10,1646.0348602139143,197.61093854904175,0.00013966321
0.5,0.0,12,1647.2619696238125,200.0,2.220446e-16
0.5,0.25,1,1646.4762436779608,198.0149269104004,1.8924518
0.5,0.25,2,1633.4186682906281,178.4342646598816,53.924232
0.5,0.25,4,1595.0286167904678,148.56441020965576,1329.063
0.5,0.25,6,1635.8382156613336,181.49524927139282,47.40503
0.5,0.25,8,1646.718826356162,199.16765689849854,8.175199e-05
0.5,0.25,10,1647.166071702641,200.0,5.9584045e-06
0.5,0.25,12,1645.87317791878,197.24969863891602,1.4647938e-12
0.5,0.5,1,1646.1275379141362,197.4802017211914,2.5652225
0.5,0.5,2,1633.6769929901063,178.96946668624878,84.25506
0.5,0.5,4,1602.8443079914227,154.33568954467773,1352.1721
0.5,0.5,6,1617.6081042304934,164.73665237426758,573.64557
0.5,0.5,8,1646.7486351918415,199.24302101135254,0.07919834
0.5,0.5,10,1647.8035669901456,200.0,0.0
0.5,0.5,12,1647.803742943057,200.0,3.5527137e-15
0.5,0.9,1,1646.1825536946392,197.76499271392822,0.35937804
0.5,0.9,2,1639.470055899867,185.30820608139038,4.7363467
0.5,0.9,4,1610.1458071191948,154.84154224395752,170.99484
0.5,0.9,6,1640.8608784367839,187.52079010009766,4.013161
0.5,0.9,8,1646.7872268961246,199.3246555328369,1.5610209e-05
0.5,0.9,10,1646.8617862441624,199.5012640953064,1.9984014e-15
0.5,0.9,12,1647.283219424733,200.0,2.220446e-16
0.25,0.0,1,1455.9311025810541,198.3303666114807,1.2025918
0.25,0.0,2,1441.1729843327341,173.40688705444336,49.907402
0.25,0.0,4,1396.8576471572228,138.73615264892578,1114.6248
0.25,0.0,6,1427.7218433821456,159.72572565078735,237.03012
0.25,0.0,8,1454.4987330983927,195.08836269378662,0.99463975
0.25,0.0,10,1456.3128969056174,199.10861253738403,4.177112e-06
0.25,0.0,12,1456.690223119154,200.0,0.0
0.25,0.25,1,1455.6185939323418,197.55433797836304,2.6170015
0.25,0.25,2,1440.3315800656665,173.05593490600586,93.75071
0.25,0.25,4,1397.1179672920957,140.33952951431274,1780.052
0.25,0.25,6,1437.041477764921,169.52991485595703,170.27641
0.25,0.25,8,1455.4029805366504,197.17304706573486,0.4644128
0.25,0.25,10,1455.9261238521399,198.149573802948,0.0031763115
0.25,0.25,12,1456.5234257457103,199.65534210205078,2.220446e-16
0.25,0.5,1,1455.3273313883017,196.66917324066162,2.61985
0.25,0.5,2,1441.1680373988254,174.26224946975708,88.21085
0.25,0.5,4,1396.4489938472182,140.74736833572388,2176.3367
0.25,0.5,6,1436.93098647493,170.05596160888672,186.64453
0.25,0.5,8,1452.4055981774916,190.84566831588745,6.586235
0.25,0.5,10,1456.6270111528481,199.92822408676147,0.0
0.25,0.5,12,1455.5306560871447,197.14092016220093,1.4210855e-14
0.25,0.9,1,1455.7518166820537,197.7885127067566,0.45825836
0.25,0.9,2,1449.1476398851007,184.29162502288818,7.20301
0.25,0.9,4,1424.3241928511477,155.9015989303589,194.0864
0.25,0.9,6,1448.946462965265,183.98406505584717,9.79056
0.25,0.9,8,1456.1105901164892,198.59849214553833,0.0007572372
0.25,0.9,10,1457.6967294094409,200.0,1.4210855e-14
0.25,0.9,12,1456.699216104045,200.0,5.551115e-17
0.1,0.0,1,1424.50466186054,196.7687487602234,1.053363
0.1,0.0,2,1406.8587493498942,169.64374780654907,45.849007
0.1,0.0,4,1361.1914076557707,136.57039403915405,785.1033
0.1,0.0,6,1401.704884877173,164.12585973739624,91.0929
0.1,0.0,8,1425.8070719026143,199.6432900428772,1.4775637e-05
0.1,0.0,10,1426.9608468086385,200.0,0.00032269696
0.1,0.0,12,1426.2558667196668,200.0,8.881784e-16
0.1,0.25,1,1424.7662080546804,196.69666290283203,2.161845
0.1,0.25,2,1408.1056082725524,171.76564931869507,86.31144
0.1,0.25,4,1355.1948995814355,134.99122858047485,2336.1267
0.1,0.25,6,1415.1809886665937,180.4889678955078,36.23885
0.1,0.25,8,1425.9129113533775,199.88477230072021,0.0023590368
0.1,0.25,10,1426.6937766804135,200.0,0.0
0.1,0.25,12,1425.1822390093243,198.1261134147644,0.0
0.1,0.5,1,1424.6232752005915,196.8472719192505,2.462914
0.1,0.5,2,1409.7992838400694,173.7326741218567,75.481316
0.1,0.5,4,1359.1935105469697,136.53125762939453,2082.5261
0.1,0.5,6,1413.0785025089117,177.98409461975098,56.2828
0.1,0.5,8,1420.7437589560539,189.55576419830322,10.530812
0.1,0.5,10,1426.525335861627,200.0,0.0
0.1,0.5,12,1427.113409489803,200.0,2.2871953e-05
0.1,0.9,1,1425.0349446591451,197.672700881958,0.36614138
0.1,0.9,2,1417.889864558391,184.05582904815674,5.4712434
0.1,0.9,4,1391.4236313348333,155.95556497573853,156.56247
0.1,0.9,6,1423.5356624199915,194.43700313568115,0.4442022
0.1,0.9,8,1425.6866011648444,199.34145212173462,4.0827552e-05
0.1,0.9,10,1426.3609381451047,200.0,3.5527137e-15
0.1,0.9,12,1426.4989274277127,200.0,3.5527137e-15
