size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,3.0760026,38.78109157085419,1.3764464
0.5,0.0,2,3.2820528,40.48401117324829,0.19174877
0.5,0.0,4,3.347343,39.98146057128906,0.009044675
0.5,0.0,6,3.3663921,40.13136923313141,9.094947e-13
0.5,0.0,8,3.4977732,43.269070982933044,0.0
0.5,0.0,10,3.3143017,39.89430069923401,9.094947e-13
0.5,0.0,12,3.954862,43.20895969867706,9.094947e-13
0.5,0.25,1,3.5307777,44.32224631309509,0.54857266
0.5,0.25,2,3.2955606,40.045398473739624,0.04267507
0.5,0.25,4,3.7479808,46.65233790874481,0.0005665313
0.5,0.25,6,3.82485,42.47845709323883,9.094947e-13
0.5,0.25,8,4.293249,54.17880415916443,9.094947e-13
0.5,0.25,10,5.0476556,65.45928120613098,2.2737368e-13
0.5,0.25,12,3.312182,40.284520387649536,3.637979e-12
0.5,0.5,1,3.3443592,40.766364336013794,0.4866313
0.5,0.5,2,3.3341866,41.35056734085083,0.0679873
0.5,0.5,4,3.3187306,39.91522789001465,3.9461538e-05
0.5,0.5,6,3.3099365,40.28337597846985,0.00012549339
0.5,0.5,8,3.3197653,39.91962671279907,9.094947e-13
0.5,0.5,10,3.6720014,41.64433479309082,9.094947e-13
0.5,0.5,12,3.318137,40.89658260345459,0.0
0.5,0.9,1,3.3773606,41.61805510520935,0.05819546
0.5,0.9,2,3.3309777,39.957404136657715,0.016091984
0.5,0.9,4,3.4486356,40.489745140075684,0.0013781461
0.5,0.9,6,5.571635,74.07889366149902,2.2737368e-13
0.5,0.9,8,4.2837615,54.04491424560547,9.094947e-13
0.5,0.9,10,4.099417,51.47258639335632,3.637979e-12
0.5,0.9,12,3.6228406,41.36784076690674,9.094947e-13
0.25,0.0,1,3.6997821,45.00885605812073,0.89763975
0.25,0.0,2,3.6365037,44.974783062934875,0.15466434
0.25,0.0,4,4.1208673,53.648048639297485,0.0064418106
0.25,0.0,6,3.5984108,45.661160349845886,0.0010777437
0.25,0.0,8,3.9985418,51.88164710998535,0.0
0.25,0.0,10,3.8438625,45.75320780277252,9.094947e-13
0.25,0.0,12,4.440765,58.32882523536682,2.2737368e-13
0.25,0.25,1,3.453453,44.13580596446991,0.52889204
0.25,0.25,2,3.6523972,46.93647623062134,0.081332415
0.25,0.25,4,3.7847826,48.77823889255524,0.0009087729
0.25,0.25,6,4.921961,65.63386917114258,2.046363e-12
0.25,0.25,8,3.6209393,46.389010548591614,0.0
0.25,0.25,10,4.1952715,54.71351146697998,0.0
0.25,0.25,12,3.6749575,45.17078399658203,0.0
0.25,0.5,1,3.5259159,45.81647217273712,0.49932522
0.25,0.5,2,3.6346786,45.04093527793884,0.07764367
0.25,0.5,4,3.7861829,48.80978465080261,0.0021252395
0.25,0.5,6,4.443268,58.36535096168518,0.0
0.25,0.5,8,3.6046808,45.62017321586609,9.094947e-13
0.25,0.5,10,4.991117,51.76658034324646,0.0
0.25,0.5,12,4.9703417,51.65581703186035,3.637979e-12
0.25,0.9,1,3.632854,44.958579540252686,0.09736302
0.25,0.9,2,3.6129162,46.120187640190125,0.0045891837
0.25,0.9,4,3.8814573,50.22934079170227,0.00037722968
0.25,0.9,6,3.655467,46.8842476606369,5.6897356e-05
0.25,0.9,8,5.8500433,81.3471257686615,2.2737368e-13
0.25,0.9,10,3.783001,45.47068178653717,9.094947e-13
0.25,0.9,12,3.7702966,48.55414628982544,0.0
0.1,0.0,1,3.2796342,41.53161346912384,1.0310793
0.1,0.0,2,3.3654702,40.911394357681274,0.17498083
0.1,0.0,4,4.3562517,46.2248295545578,0.019651659
0.1,0.0,6,3.7035131,46.05673551559448,9.094947e-13
0.1,0.0,8,3.8032076,43.19863021373749,9.094947e-13
0.1,0.0,10,4.6574154,59.4787061214447,9.094947e-13
0.1,0.0,12,3.5357738,41.91097021102905,3.637979e-12
0.1,0.25,1,3.583792,42.47502088546753,0.76295745
0.1,0.25,2,3.4075248,41.834935545921326,0.25282183
0.1,0.25,4,3.5797508,42.08604693412781,7.875146e-05
0.1,0.25,6,3.6747415,42.499396204948425,2.5415281e-06
0.1,0.25,8,4.0957637,51.42556428909302,0.0
0.1,0.25,10,4.041914,50.6738543510437,9.094947e-13
0.1,0.25,12,4.6292133,59.06047821044922,2.2737368e-13
0.1,0.5,1,3.520939,43.39703619480133,0.71856636
0.1,0.5,2,3.4332063,42.42511689662933,0.04510946
0.1,0.5,4,3.5286105,41.87855124473572,0.0003137506
0.1,0.5,6,5.9009995,79.82320189476013,2.2737368e-13
0.1,0.5,8,3.4418428,41.97653830051422,9.094947e-13
0.1,0.5,10,4.575331,58.266663551330566,2.2737368e-13
0.1,0.5,12,4.6658826,47.9566752910614,9.094947e-13
0.1,0.9,1,3.4243636,41.845664381980896,0.09638092
0.1,0.9,2,3.4246333,41.71125292778015,0.018604768
0.1,0.9,4,3.685841,42.557576298713684,0.00048595647
0.1,0.9,6,5.2178288,68.16738843917847,9.824649e-05
0.1,0.9,8,3.8720608,48.352473974227905,9.094947e-13
0.1,0.9,10,3.9766452,49.772998690605164,9.094947e-13
0.1,0.9,12,4.6969643,60.06840467453003,2.2737368e-13
