num_layers,test_size,mae,variance
1,0.1,1714.7912494906025,1873.5636
1,0.2,1707.6743665307022,1350.2471
1,0.5,1431.525576050283,1821.0889
1,0.8,1552.7466920518868,4906.307
1,0.9,1473.4272994680855,5578.4507
2,0.1,1359.1011010684217,1019785.94
2,0.2,1273.949836889588,1051869.2
2,0.5,1051.5683484361466,1286975.9
2,0.8,1323.9755849185428,587751.44
2,0.9,1247.275737673216,536263.3
4,0.1,1653.2978419883575,2380875.5
4,0.2,1684.6355227026613,2387039.0
4,0.5,1403.88269466081,2316072.0
4,0.8,1208.6620319166684,616308.44
4,0.9,1144.9289925619662,576202.06
6,0.1,1571.4754566865806,2426184.2
6,0.2,1407.4668349464343,2282419.5
6,0.5,1173.9420798009135,2220119.2
6,0.8,1215.1057253449933,645855.06
6,0.9,1158.1497995228565,608193.94
8,0.1,1127.7760774500227,1937210.6
8,0.2,1027.3022329802561,1904516.1
8,0.5,1027.3785711402438,2175574.0
8,0.8,1261.9702802653326,773794.25
8,0.9,1166.4006670602937,646526.6
10,0.1,1201.1894805010627,1374532.9
10,0.2,1715.6955583770673,0.0
10,0.5,1442.2991116378414,0.0
10,0.8,1573.5784340978198,3.469447e-18
10,0.9,1499.9092340323982,8.881784e-16
