size,sparsity,num_layers,mae,smape,variance
0.5,0.0,1,1646.9838562842265,199.43197965621948,0.5506097
0.5,0.0,2,1646.626311003865,198.14218282699585,0.6948934
0.5,0.0,4,1645.574692473973,196.43234014511108,0.9677985
0.5,0.0,6,1644.9350025101724,195.38450241088867,0.63815016
0.5,0.0,8,1643.6564362652273,192.68310070037842,0.25727388
0.5,0.0,10,1643.003188086696,191.40503406524658,0.03669098
0.5,0.25,1,1646.7892487300226,199.03907775878906,0.52117777
0.5,0.25,2,1646.2572872877358,197.68718481063843,0.8382272
0.5,0.25,4,1645.7274364772961,196.59253358840942,1.1910605
0.5,0.25,6,1644.1075397769057,193.564772605896,0.5814906
0.5,0.25,8,1643.4624405617851,192.0825958251953,0.7793345
0.5,0.25,10,1643.403213884726,192.22142696380615,0.07173596
0.5,0.5,1,1646.564336276387,198.6814022064209,0.47509393
0.5,0.5,2,1646.1383342475397,198.0252742767334,0.927968
0.5,0.5,4,1645.2314925944484,196.23814821243286,1.1316297
0.5,0.5,6,1643.9560761789817,193.0396318435669,0.6770359
0.5,0.5,8,1643.1325642668394,191.6432499885559,0.47383833
0.5,0.5,10,1643.0008941014923,191.36581420898438,0.060364388
0.5,0.9,1,1644.395566310793,194.50560808181763,2.2287698
0.5,0.9,2,1644.2645040083364,194.2288875579834,2.1376762
0.5,0.9,4,1643.990870954417,193.26485395431519,1.9801162
0.5,0.9,6,1643.2048001723936,191.52528047561646,0.98531765
0.5,0.9,8,1643.2213002461124,191.9115662574768,0.4607389
0.5,0.9,10,1643.3400962679273,192.00204610824585,0.17380217
0.25,0.0,1,1456.5016462445535,199.27834272384644,0.38886172
0.25,0.0,2,1456.2442603691184,198.41753244400024,0.6706267
0.25,0.0,4,1454.7799968006148,195.28920650482178,1.3499684
0.25,0.0,6,1454.0706965904058,193.5410499572754,1.6905547
0.25,0.0,8,1453.5686991764746,192.80906915664673,0.7192873
0.25,0.0,10,1453.284871502157,191.98598861694336,0.050948728
0.25,0.25,1,1456.417900444855,198.64821434020996,0.8142635
0.25,0.25,2,1456.181642699939,198.55469465255737,0.49397075
0.25,0.25,4,1454.8699762973893,195.40762901306152,1.09888
0.25,0.25,6,1454.1436210551833,194.01438236236572,0.58823246
0.25,0.25,8,1453.292182353773,191.82649850845337,0.67282265
0.25,0.25,10,1453.5946913424877,192.538321018219,0.6739664
0.25,0.5,1,1456.417867232542,199.02396202087402,0.53608084
0.25,0.5,2,1455.7601912569849,197.5741744041443,0.7222568
0.25,0.5,4,1454.969835175114,195.946204662323,1.2255725
0.25,0.5,6,1453.997988334636,193.91989707946777,0.5741532
0.25,0.5,8,1453.6003268586114,192.71668195724487,0.21388301
0.25,0.5,10,1452.5528834505283,190.48635959625244,0.07445783
0.25,0.9,1,1454.678124178708,195.31668424606323,2.4824405
0.25,0.9,2,1453.9952808643432,194.09013986587524,2.4757512
0.25,0.9,4,1454.0221255989863,193.47457885742188,2.1706917
0.25,0.9,6,1453.198278009289,191.84067249298096,0.95104223
0.25,0.9,8,1453.2275717047141,192.13168621063232,1.113381
0.25,0.9,10,1453.0582197698823,191.5185809135437,0.121156774
0.1,0.0,1,1425.6874596794369,199.14240837097168,0.3021235
0.1,0.0,2,1425.5392330821628,198.6117720603943,0.6834277
0.1,0.0,4,1424.3373351971402,196.23605012893677,1.3947488
0.1,0.0,6,1423.763567765366,195.03904581069946,1.0743337
0.1,0.0,8,1422.7868074597448,192.9358959197998,0.897783
0.1,0.0,10,1423.076440667726,193.49186420440674,0.90814364
0.1,0.25,1,1425.7655125201757,199.14326667785645,0.48423514
0.1,0.25,2,1425.4568682236113,198.44297170639038,0.7755127
0.1,0.25,4,1424.5932792632946,196.61051034927368,0.8112725
0.1,0.25,6,1424.0720012517336,195.0477123260498,3.198625
0.1,0.25,8,1423.2406152619094,193.48233938217163,1.3661163
0.1,0.25,10,1422.2592422250632,191.79270267486572,0.5065489
0.1,0.5,1,1425.4880852528263,198.64599704742432,0.59514594
0.1,0.5,2,1425.021088942816,197.6803421974182,0.79805833
0.1,0.5,4,1424.575125985059,196.84706926345825,1.2254285
0.1,0.5,6,1423.4052465037635,193.93234252929688,0.73683053
0.1,0.5,8,1422.4379957080548,192.2718644142151,0.51681584
0.1,0.5,10,1422.6108100812874,192.26807355880737,0.5656044
0.1,0.9,1,1423.7367354079947,194.82824802398682,2.3325772
0.1,0.9,2,1422.9088415206932,193.14886331558228,2.9192762
0.1,0.9,4,1423.208559209837,193.69646310806274,2.9424953
0.1,0.9,6,1422.6581859101575,192.61255264282227,2.108333
0.1,0.9,8,1423.0388760166395,193.329119682312,2.020238
0.1,0.9,10,1422.5721563052707,192.3908233642578,0.9757374
