num_layers,test_size,mae,variance
1,0.1,1703.9514723534678,1.02550885e-05
1,0.2,1694.0318771400075,1.0471477e-05
1,0.5,1420.1975860200555,1.8508968e-05
1,0.8,1550.7717156065373,2.6764057e-05
1,0.9,1476.6038703503998,1.5061333e-05
2,0.1,1704.23613430098,6.250568e-06
2,0.2,1693.157473384744,1.8239447e-05
2,0.5,1420.0940788299438,3.461823e-05
2,0.8,1550.6400460269385,3.730745e-05
2,0.9,1476.7468655672938,3.2023636e-05
4,0.1,1704.952853760065,8.057151e-06
4,0.2,1694.2096058496154,1.1040534e-05
4,0.5,1420.2798852259418,2.5264095e-05
4,0.8,1550.112665794734,4.5993274e-05
4,0.9,1476.4701693177485,4.1292897e-05
6,0.1,1704.461460427677,5.925158e-06
6,0.2,1693.8612624631069,1.1522468e-05
6,0.5,1420.3932557185806,2.5991321e-05
6,0.8,1550.405803442596,6.37784e-05
6,0.9,1476.9940054282379,2.2209017e-05
8,0.1,1704.3714933731978,1.3270961e-05
8,0.2,1693.562626243818,1.16836845e-05
8,0.5,1420.0149522515405,3.289175e-05
8,0.8,1549.8474004227028,4.9476417e-05
8,0.9,1477.1295176512383,2.6199812e-05
10,0.1,1704.493619597192,1.628527e-05
10,0.2,1693.5673338446286,1.6526303e-05
10,0.5,1420.458558654785,1.825982e-05
10,0.8,1549.9333304740544,4.1714473e-05
10,0.9,1476.957118096531,1.814938e-05
