num_layers,test_size,order,mae,forecast_variance
1,0.1,"(1, 1, 1)",1205.8305699341493,0.002864655386832544
1,0.2,"(1, 1, 1)",1345.279362384371,0.043661427512622586
1,0.5,"(1, 1, 1)",1490.451268732615,0.00048230916546071126
1,0.8,"(1, 1, 1)",1267.0676931396772,3.3174100728713074
1,0.9,"(1, 1, 1)",3156.9009123422647,48.68992487861691
2,0.1,"(2, 1, 1)",1206.4898978352905,1.9883019450547732
2,0.2,"(2, 1, 1)",1345.1672867255734,1.0575329957454016
2,0.5,"(2, 1, 1)",1497.5032859048786,8.923697086074199
2,0.8,"(2, 1, 1)",1258.8583317514046,6.139390670840889
2,0.9,"(2, 1, 1)",3311.904864841032,296.9174420425074
4,0.1,"(4, 1, 1)",1209.557658078909,125.61675545737336
4,0.2,"(4, 1, 1)",1360.3132100771636,97.2733617524374
4,0.5,"(4, 1, 1)",1523.1314462020775,465.63649529325687
4,0.8,"(4, 1, 1)",1895.375027509535,3977.8324333857904
4,0.9,"(4, 1, 1)",2619.664500099219,6302.577769846142
6,0.1,"(6, 1, 1)",1208.2817477935585,121.93306619394608
6,0.2,"(6, 1, 1)",1356.546810249289,132.69032114329235
6,0.5,"(6, 1, 1)",1513.3183694809009,365.9663434965619
6,0.8,"(6, 1, 1)",1482.8859026932646,335.9992714016264
6,0.9,"(6, 1, 1)",3335.465984787911,2912.1983515773036
8,0.1,"(8, 1, 1)",1210.6148502770616,735.5492059021396
8,0.2,"(8, 1, 1)",1349.0663777983352,460.2940605786885
8,0.5,"(8, 1, 1)",1510.2038371713218,397.0517233725079
8,0.8,"(8, 1, 1)",1247.3901545544065,268.1873836953995
8,0.9,"(8, 1, 1)",3314.821985695306,2312.1891141879178
10,0.1,"(10, 1, 1)",1211.135541895533,1364.5559015698416
10,0.2,"(10, 1, 1)",1347.0137052978455,486.9417840703263
10,0.5,"(10, 1, 1)",1509.472618168906,364.84341033249035
10,0.8,"(10, 1, 1)",1906.4937645419452,9850.541865766938
10,0.9,"(10, 1, 1)",28166.757397870693,158335674.75497872
