max_depth,test_size,mae,variance
1,0.1,0.009343736703281409,0.05578672563841005
1,0.2,0.009153516725167541,0.0584442244398272
1,0.5,0.010020541762565992,0.05847273838237765
1,0.8,0.01164493530971984,0.06089053252743454
1,0.9,0.015107034949760465,0.061197526259693436
2,0.1,0.007482952568733867,0.056745936559714966
2,0.2,0.007599882576521791,0.05933785513789674
2,0.5,0.007892471324574282,0.059372014426229615
2,0.8,0.009889077788637651,0.0617277053473163
2,0.9,0.01386049683608679,0.062246357713486376
4,0.1,0.006313266309541709,0.0568177511982253
4,0.2,0.006595521477632025,0.05946024251191497
4,0.5,0.00707550834233926,0.059387878891780495
4,0.8,0.009456898340984421,0.061737863716397445
4,0.9,0.013367867365664837,0.062224611677406706
6,0.1,0.006366953859814787,0.05703211649734396
6,0.2,0.006504319491835942,0.059489872265125844
6,0.5,0.007454025931756089,0.05951998671560571
6,0.8,0.010537340976529105,0.06206569785775715
6,0.9,0.015540036170940965,0.06249317817456859
8,0.1,0.007179260121687427,0.05721657658409542
8,0.2,0.0074906756205169525,0.05958268348127723
8,0.5,0.008658702132695133,0.05951950277020495
8,0.8,0.011867153911258893,0.06230705295364956
8,0.9,0.01713364038975488,0.06257210357392018
10,0.1,0.008120420054389097,0.05704208897168378
10,0.2,0.008422354324222813,0.05950971553098213
10,0.5,0.009583659119505282,0.059521742320650904
10,0.8,0.011954953367051662,0.06233733698283897
10,0.9,0.01761186585996607,0.06261970968241526
