num_layers,test_size,order,mae,forecast_variance
1,0.1,"(1, 1, 1)",0.07115881062375559,1.4316992369194348e-06
1,0.2,"(1, 1, 1)",0.1511011785965079,1.9081902853938556e-08
1,0.5,"(1, 1, 1)",0.24812400223712466,4.052160115290349e-06
1,0.8,"(1, 1, 1)",0.36086344840468754,1.3478656191116315e-06
1,0.9,"(1, 1, 1)",0.32754203344572597,2.5571654270155085e-08
2,0.1,"(2, 1, 1)",0.0664297811131609,1.014255051393737e-07
2,0.2,"(2, 1, 1)",0.1539585491373662,1.787181242312493e-09
2,0.5,"(2, 1, 1)",0.22002530424165045,8.160132237918856e-10
2,0.8,"(2, 1, 1)",0.3798337646330272,1.4536499808587894e-09
2,0.9,"(2, 1, 1)",0.3277626190717761,2.8158823189021295e-09
4,0.1,"(4, 1, 1)",0.06618784669219709,6.950254620106925e-08
4,0.2,"(4, 1, 1)",0.15405106490755316,1.5841875998163253e-09
4,0.5,"(4, 1, 1)",0.2200389509245356,2.3219529063493874e-09
4,0.8,"(4, 1, 1)",0.3795568815519863,4.043888162800228e-09
4,0.9,"(4, 1, 1)",0.3280888253074797,4.561565705872385e-09
6,0.1,"(6, 1, 1)",0.059726361083163836,1.5483198376805983e-06
6,0.2,"(6, 1, 1)",0.15444824772650084,3.3962334090178984e-09
6,0.5,"(6, 1, 1)",0.21900783294641965,2.3530388676694983e-08
6,0.8,"(6, 1, 1)",0.3814013202104047,2.9522856702316253e-08
6,0.9,"(6, 1, 1)",0.327428365775781,9.154691891981656e-08
8,0.1,"(8, 1, 1)",0.06488128187108944,2.452213688819411e-06
8,0.2,"(8, 1, 1)",0.13746737614351356,2.85630290110069e-06
8,0.5,"(8, 1, 1)",0.21919267540149678,2.8991720502957625e-08
8,0.8,"(8, 1, 1)",0.3807955117092091,2.806500204956878e-08
8,0.9,"(8, 1, 1)",0.3247233210667638,3.251880792580564e-08
10,0.1,"(10, 1, 1)",0.06466693793222218,9.401018661665281e-07
10,0.2,"(10, 1, 1)",0.135082494468574,4.767409210340403e-06
10,0.5,"(10, 1, 1)",0.23270520804200703,1.393353242646996e-06
10,0.8,"(10, 1, 1)",0.37870000225558575,1.7385276010056665e-07
10,0.9,"(10, 1, 1)",0.32733535136499026,1.7748508544215884e-07
