n_estimators,max_depth,test_size,variance_prediction,MAE
10,1,0.1,0.28873591487048483,0.4351716763780251
10,1,0.2,0.2858497159327763,0.41780410386845357
10,1,0.5,0.26945969361513883,0.39034083915107887
10,1,0.8,0.27408510274261677,0.3854196008936027
10,1,0.9,0.2693560777787323,0.4018576527781882
10,2,0.1,0.4291713426580511,0.34113898324838726
10,2,0.2,0.42499415133215906,0.3275960745597171
10,2,0.5,0.4006476062461644,0.30851490378257296
10,2,0.8,0.38627068258560304,0.3138576115865645
10,2,0.9,0.4118009132417195,0.29728951240717466
10,4,0.1,0.4688564588061831,0.3170640186957605
10,4,0.2,0.45564384611935044,0.3082826705372335
10,4,0.5,0.42878783533500153,0.2906431571286202
10,4,0.8,0.413351576750407,0.2963960325782272
10,4,0.9,0.44061009094132714,0.2817051664210697
10,6,0.1,0.4772775724624862,0.31397519585193195
10,6,0.2,0.45940367043632296,0.30697823157708637
10,6,0.5,0.42952447155916335,0.2908269732208742
10,6,0.8,0.4167437001595137,0.29500134042220044
10,6,0.9,0.44412579368532357,0.2805627130034534
10,8,0.1,0.47700734114346366,0.313425977066273
10,8,0.2,0.4607967084919021,0.30644062475587686
10,8,0.5,0.4310829262093527,0.2900972120973579
10,8,0.8,0.41741153043426893,0.2948670957859554
10,8,0.9,0.44514826807948055,0.2799450819444904
10,10,0.1,0.4763162553640783,0.31305758260923583
10,10,0.2,0.463027233931915,0.3052739906593997
10,10,0.5,0.43148397190650334,0.2900658628671124
10,10,0.8,0.41606014161580074,0.294567647377958
10,10,0.9,0.4435134622956343,0.2809219563903377
50,1,0.1,0.9768147838571032,0.0732419781364967
50,1,0.2,0.9607063964205724,0.06779261915106284
50,1,0.5,0.9025241802376276,0.05844929022919848
50,1,0.8,0.881119069638989,0.06022346842396491
50,1,0.9,0.9211067973697247,0.06703545633964957
50,2,0.1,1.1030711471864145,0.036324072492915166
50,2,0.2,1.0665213177868582,0.03432155403330609
50,2,0.5,0.9922792123755425,0.031726073453107836
50,2,0.8,0.9615478185160423,0.036575141639399754
50,2,0.9,1.017213567407712,0.04387501503806422
50,4,0.1,1.1118773263089465,0.03304139144306699
50,4,0.2,1.0720072735898343,0.03201509095468461
50,4,0.5,0.9999983310730755,0.028603359046640547
50,4,0.8,0.966607055792974,0.03194173462681548
50,4,0.9,1.016550137109094,0.04361653724755878
50,6,0.1,1.1146835444724938,0.031975377225597186
50,6,0.2,1.0743766642406156,0.030994307219900853
50,6,0.5,1.0021829027341724,0.028976380625714736
50,6,0.8,0.9721015355467801,0.033816140100660134
50,6,0.9,1.0403098188599018,0.051759027282741836
50,8,0.1,1.1163459592686333,0.031008853976911322
50,8,0.2,1.074574274767185,0.032224509049802605
50,8,0.5,1.006338786314073,0.029975680162323076
50,8,0.8,0.972678547125097,0.03747156040619404
50,8,0.9,1.0358231829804745,0.048747000509382736
50,10,0.1,1.111707015933944,0.032124051161803995
50,10,0.2,1.0811721846762672,0.03426358846067279
50,10,0.5,1.0068458449636446,0.032331630397101574
50,10,0.8,0.9705801680137917,0.03837112982913723
50,10,0.9,1.0330082014996365,0.0501785689142099
100,1,0.1,1.1048729237494799,0.038580821256799715
100,1,0.2,1.0711318826912097,0.03999930149924762
100,1,0.5,0.99859141160449,0.034428322207470025
100,1,0.8,0.9686536310045629,0.03847682366710161
100,1,0.9,1.0127910503583668,0.049782603543160615
100,2,0.1,1.1258632058151474,0.03363250360709195
100,2,0.2,1.0860877231672192,0.03232740773119022
100,2,0.5,1.0083466160180279,0.030173300394876017
100,2,0.8,0.9784869976575358,0.035377746288710266
100,2,0.9,1.0353068949225188,0.04384433128714087
100,4,0.1,1.1222880685132473,0.03157317749930737
100,4,0.2,1.083536536933079,0.03114683324771802
100,4,0.5,1.0100801104484967,0.02833067552658732
100,4,0.8,0.9763327710511981,0.03158180616338038
100,4,0.9,1.027055030906026,0.04373897972444242
100,6,0.1,1.126202668674775,0.03102097570796559
100,6,0.2,1.085541139008905,0.030193371540153637
100,6,0.5,1.0127327260602312,0.028865243402085638
100,6,0.8,0.9821738488515942,0.033682201862772945
