train_size,num_layers,variance,MAE
0.1,1,10131.485571265499,72.97770772685931
0.1,2,12095.20925709495,96.65156835898333
0.1,4,10302.736841272445,75.71857203886228
0.1,6,10596.50296525279,80.70937735153493
0.1,8,10367.308551042208,77.76028935248132
0.1,10,10595.6521322066,81.0748842339706
0.2,1,11815.819694868498,93.02516424474837
0.2,2,11199.117372587707,78.70573452563771
0.2,4,11134.340208262704,79.64254626923734
0.2,6,11170.831450036925,83.45769070110107
0.2,8,11266.7479956268,85.90947908689684
0.2,10,11283.389666239798,86.11463215111965
0.5,1,13309.582360522827,99.41477647826427
0.5,2,13455.640663882677,99.16350403015096
0.5,4,13593.666821701765,99.04634554779594
0.5,6,13317.855643035584,102.6561121647066
0.5,8,13358.325336193971,100.54497902370761
0.5,10,13334.307698859648,101.9226276576783
0.8,1,13084.370752211114,92.01008355124982
0.8,2,13108.913324248353,91.75102838266214
0.8,4,13227.116053964202,92.13611625004327
0.8,6,13177.60431399957,92.5972074127618
0.8,8,13222.157477475794,92.52100127381533
0.8,10,13268.67908933448,93.18697434302447
0.9,1,8287.341972922313,72.77050136287536
0.9,2,8699.3979771526,74.33743794125652
0.9,4,8866.16377443275,75.23796962499488
0.9,6,8255.601767971799,72.0993455167173
0.9,8,8305.890940525207,72.42446798037193
0.9,10,8390.167453432141,72.93264325803179
