test_size,hidden_layer_sizes,mae,variance
0.1,"(10,)",36.81424884823444,987.7530820680612
0.1,"(50,)",20.612944081262114,1544.9991038616579
0.1,"(100,)",17.265927378860447,1409.4642529832238
0.1,"(200,)",14.314462117206995,1325.8673813258968
0.1,"(300,)",13.114441494196672,1279.9652204228353
0.2,"(10,)",45.94331038999704,9057.563897224749
0.2,"(50,)",28.078838666012324,7230.323725992058
0.2,"(100,)",19.9033680727328,6602.549401475579
0.2,"(200,)",18.331308433725983,6533.726200991682
0.2,"(300,)",19.987718982090204,6651.495933176249
0.5,"(10,)",47.87074244080756,5306.48451877387
0.5,"(50,)",26.33340997921961,17562.16572043942
0.5,"(100,)",20.096483548245505,15504.100886874267
0.5,"(200,)",14.215303256444924,13828.619181274398
0.5,"(300,)",9.704034962272528,12512.902541486355
0.8,"(10,)",38.709522980901816,3060.80485481947
0.8,"(50,)",30.94916181166243,20488.87634118767
0.8,"(100,)",17.229230618968597,14246.66467478911
0.8,"(200,)",6.027246434453378,9763.683271816397
0.8,"(300,)",5.880219316341997,9749.22261770829
0.9,"(10,)",55.357354922885975,3295.1775278674777
0.9,"(50,)",110.91977727209327,28290.257919237472
0.9,"(100,)",98.60211972189995,23874.6979720507
0.9,"(200,)",77.32791084978642,20494.576284675262
0.9,"(300,)",64.62758942624541,17866.33187262965
