test_size,n_estimators,mae,variance
0.1,10,114.40029536056849,1.6894197980029095
0.1,50,44.480188587873926,19.528075733888333
0.1,100,43.072153409214984,21.489840049261797
0.1,200,42.92002936943386,22.06675592287332
0.1,500,42.82896505625707,22.420145672155666
0.1,1000,42.836586606655146,22.451108785046856
0.2,10,148.35793593498795,0.6730874516906964
0.2,50,120.35949001295448,5.21978884257316
0.2,100,120.16147700120618,5.488616069861984
0.2,200,120.13952568396827,5.705889764007888
0.2,500,120.11550262789682,5.794802993609396
0.2,1000,120.10770842632225,5.800465746054266
0.5,10,67.77333801128164,394.20057106560307
0.5,50,53.76159247529309,1017.5585234708176
0.5,100,53.56938771718982,1031.513269651387
0.5,200,53.51172647216428,1029.2173977636032
0.5,500,53.5075521473517,1029.8248065337657
0.5,1000,53.50873089983304,1029.8881795326167
0.8,10,43.73967173139305,449.05857397690255
0.8,50,34.68157956906055,1154.1321437199972
0.8,100,34.58655010068379,1170.2519906433238
0.8,200,34.57879638745258,1169.8214984652745
0.8,500,34.57902976907921,1169.542995058795
0.8,1000,34.57898237330099,1169.5476172316196
0.9,10,49.11306967816501,192.91350310551812
0.9,50,42.831274356081586,434.7263769954928
0.9,100,42.74951004570734,440.3284933443314
0.9,200,42.7760050092885,438.8576452623245
0.9,500,42.7773367761939,438.7769417337795
0.9,1000,42.777336767067546,438.77694054835365
