test_fraction,layers,mae,variance
0.1,1,17.422367681114753,0.00539984863893222
0.1,2,17.808816345047543,0.01073444920140076
0.1,4,16.82301431367538,0.07341356132510932
0.1,6,16.516461972910992,0.11089845645959119
0.1,8,16.967324345603256,0.15577218675991533
0.1,10,22.487652050894507,0.7442455838840375
0.2,1,24.71594011257492,5.774009591394429e-05
0.2,2,24.68559462309107,0.00021069947984566237
0.2,4,24.442252991295124,0.007647930032047257
0.2,6,24.90769543668173,0.006226792754921362
0.2,8,24.804444012821158,0.0034374664116569153
0.2,10,24.966867786525583,0.027843652182638103
0.5,1,11.9689475039267,7.87059436214593e-06
0.5,2,12.241607297935248,9.821456056054758e-05
0.5,4,14.32468370268749,0.10310249055398907
0.5,6,13.769595446383958,0.019937655789524982
0.5,8,14.367855450776794,0.04129324105256577
0.5,10,13.114247700342549,0.09684997234172601
0.8,1,62.33739814174005,0.002307351574775001
0.8,2,60.72393229617179,0.007928016193046145
0.8,4,52.12478490520754,1.1274230950122726
0.8,6,61.42600216212773,0.16570378330949992
0.8,8,57.64408287234627,0.2662268197804942
0.8,10,67.20945493259802,1.0563239954739188
0.9,1,212.13549749120475,0.0013979211550846971
0.9,2,208.01784442859494,0.0017951545299364961
0.9,4,189.42553548728716,1.4826777947702527
0.9,6,220.47507980177502,8.484557106810316
0.9,8,219.58442010425193,5.653746223397424
0.9,10,224.2807759540349,163.38328410410526
