,Openning Values,Highest Values,Lowest Values,Closing Values,Adjusted Closing Values,Volume of Stocks,Divident Amount
2023-10-06,316.2800,329.1900,311.2150,327.2600,327.2600,104962901,0.0000
2023-09-29,316.5900,319.4700,309.4500,315.7500,315.7500,107374481,0.0000
2023-09-22,327.8000,330.4000,315.0000,317.0100,317.0100,111793469,0.0000
2023-09-15,337.2400,340.8600,329.6500,330.2200,330.2200,108640058,0.0000
2023-09-08,329.0000,336.1600,328.6600,334.2700,334.2700,74018792,0.0000
2023-09-01,325.6600,331.9900,321.7220,328.6600,328.6600,90668160,0.0000
2023-08-25,317.9300,332.9800,317.0400,322.9800,322.9800,106273900,0.0000
2023-08-18,321.3900,325.0900,311.5508,316.4800,316.4800,102513461,0.6800
2023-08-11,328.3700,331.1100,319.2100,321.0100,320.3301,106911584,0.0000
2023-08-04,336.9200,338.5400,325.9500,327.7800,327.0858,113690368,0.0000
2023-07-28,345.8500,351.8900,329.0500,338.3700,337.6534,194860778,0.0000
2023-07-21,345.6780,366.7800,339.8300,343.7700,343.0419,228153310,0.0000
2023-07-14,334.6000,351.4300,327.0000,345.2400,344.5088,138404817,0.0000
2023-07-07,339.1900,342.9900,334.7276,337.2200,336.5058,80091428,0.0000
2023-06-30,333.7200,342.7300,328.4900,340.5400,339.8188,109964013,0.0000
2023-06-23,339.3100,342.0800,332.0700,335.0200,334.3105,98196871,0.0000
2023-06-16,328.5800,351.4700,325.1600,342.3300,341.6050,158712883,0.0000
2023-06-09,335.2200,338.5599,322.5000,326.7900,326.0979,128227063,0.0000
2023-06-02,335.2300,337.5000,324.7200,335.4000,334.6897,127697548,0.0000
2023-05-26,318.6000,333.4000,312.6100,332.8900,332.1850,158230100,0.0000
2023-05-19,309.0950,319.0400,307.5900,318.3400,317.6658,122204598,0.6800
2023-05-12,310.1300,313.0000,306.0900,308.9700,307.6494,124192361,0.0000
2023-05-05,306.9700,311.9700,303.4000,310.6500,309.3222,120776259,0.0000
2023-04-28,282.0900,308.9300,275.3700,307.2600,305.9467,219796618,0.0000
2023-04-21,289.9300,291.7550,283.0608,285.7600,284.5386,106024017,0.0000
2023-04-14,289.2080,289.9000,281.6400,286.1400,284.9170,122993610,0.0000
2023-04-06,286.5200,292.0800,282.0300,291.6000,290.3536,102542745,0.0000
2023-03-31,280.5000,289.2700,272.0451,288.3000,287.0677,131625277,0.0000
2023-03-24,276.9800,281.0600,269.5191,280.5700,279.3708,177709524,0.0000
2023-03-17,247.4000,283.3300,245.7300,279.4300,278.2357,237347572,0.0000
2023-03-10,256.4250,260.1200,247.6000,248.5900,247.5275,117910562,0.0000
2023-03-03,252.4600,255.6200,245.6100,255.2900,254.1988,126840033,0.0000
2023-02-24,254.4800,256.8400,248.1000,249.2200,248.1548,105098500,0.0000
2023-02-17,267.6400,274.9700,256.0000,258.0600,256.9570,170244679,0.6800
2023-02-10,257.4400,276.7600,254.7800,263.1000,261.3157,196239002,0.0000
